Date,Open,High,Low,Close,Volume
2020-11-23,6600.0,6610.0,6550.0,6600.0,75265500.0
2020-11-24,6600.0,6600.0,6545.0,6565.0,72349500.0
2020-11-25,6580.0,6585.0,6380.0,6410.0,170140500.0
2020-11-26,6350.0,6490.0,6300.0,6480.0,64339000.0
2020-11-27,6480.0,6490.0,6380.0,6385.0,87361500.0
2020-11-30,6385.0,6400.0,6135.0,6205.0,393091500.0
2020-12-01,6220.0,6435.0,6220.0,6395.0,114563500.0
2020-12-02,6460.0,6485.0,6340.0,6450.0,93897500.0
2020-12-03,6500.0,6525.0,6425.0,6460.0,98210000.0
2020-12-04,6460.0,6465.0,6360.0,6390.0,64995500.0
2020-12-07,6500.0,6580.0,6480.0,6520.0,96636000.0
2020-12-08,6520.0,6520.0,6425.0,6490.0,70561500.0
2020-12-10,6590.0,6600.0,6540.0,6575.0,151420500.0
2020-12-11,6600.0,6780.0,6595.0,6735.0,214160000.0
2020-12-14,6800.0,6830.0,6795.0,6820.0,179785500.0
2020-12-15,6830.0,6900.0,6605.0,6790.0,164024500.0
2020-12-16,6860.0,6950.0,6840.0,6950.0,138674000.0
2020-12-17,6965.0,7000.0,6820.0,6935.0,91920000.0
2020-12-18,6935.0,6935.0,6755.0,6800.0,147238500.0
2020-12-21,6890.0,6890.0,6800.0,6830.0,93692500.0
2020-12-22,6740.0,6820.0,6710.0,6715.0,61790500.0
2020-12-23,6905.0,6905.0,6620.0,6725.0,76948000.0
2020-12-28,6790.0,6820.0,6660.0,6780.0,60234000.0
2020-12-29,6775.0,6810.0,6740.0,6765.0,34212500.0
2020-12-30,6800.0,6800.0,6700.0,6770.0,52675500.0
2021-01-04,6800.0,6855.0,6720.0,6835.0,47937000.0
2021-01-05,6860.0,7090.0,6850.0,7090.0,104831000.0
2021-01-06,7050.0,7075.0,6880.0,6945.0,89753500.0
2021-01-07,7000.0,7050.0,6910.0,6965.0,71360000.0
2021-01-08,7035.0,7080.0,6975.0,7050.0,75033500.0
2021-01-11,7150.0,7360.0,7145.0,7345.0,169034500.0
2021-01-12,7345.0,7380.0,7160.0,7160.0,95235000.0
