Date,Open,High,Low,Adj Close,Volume
2020-01-02,1555.0,1555.0,1490.0,1158.7489013671875,76612000
2020-01-03,1460.0,1470.0,1425.0,1187.5084228515625,117795600
2020-01-06,1455.0,1515.0,1450.0,1187.5084228515625,61423200
2020-01-07,1480.0,1540.0,1460.0,1248.3023681640625,74336500
2020-01-08,1530.0,1535.0,1505.0,1219.9320068359375,55121100
2020-01-09,1520.0,1525.0,1475.0,1211.8260498046875,41270800
2020-01-10,1520.0,1565.0,1515.0,1256.408447265625,97200800
2020-01-13,1585.0,1595.0,1555.0,1268.567138671875,79898600
2020-01-14,1580.0,1585.0,1535.0,1264.5142822265625,68815800
2020-01-15,1555.0,1555.0,1475.0,1195.6143798828125,79941500
2020-01-16,1480.0,1505.0,1455.0,1191.5614013671875,47679400
2020-01-17,1470.0,1485.0,1460.0,1199.6673583984375,20952100
2020-01-20,1485.0,1490.0,1430.0,1163.19091796875,23993600
2020-01-21,1425.0,1455.0,1400.0,1146.979248046875,38058600
2020-01-22,1415.0,1420.0,1360.0,1106.4498291015625,63630500
2020-01-23,1350.0,1390.0,1320.0,1118.608642578125,66076300
2020-01-24,1390.0,1395.0,1370.0,1118.608642578125,14852500
2020-01-27,1370.0,1370.0,1290.0,1049.7091064453125,42333400
2020-01-28,1280.0,1345.0,1260.0,1074.0263671875,77945500
2020-01-29,1330.0,1345.0,1300.0,1057.8148193359375,27119800
2020-01-30,1305.0,1325.0,1280.0,1049.7091064453125,24536100
2020-01-31,1305.0,1305.0,1225.0,992.9678955078125,79503700
2020-02-03,1200.0,1245.0,1180.0,992.9678955078125,66293300
2020-02-04,1260.0,1285.0,1235.0,1029.4443359375,65979400
2020-02-05,1295.0,1345.0,1295.0,1065.9205322265625,60602000
2020-02-06,1350.0,1350.0,1280.0,1057.8148193359375,37379900
2020-02-07,1285.0,1315.0,1285.0,1057.8148193359375,15026100
2020-02-10,1290.0,1295.0,1265.0,1037.5501708984375,19636900
2020-02-11,1295.0,1315.0,1275.0,1065.9205322265625,32034700
2020-02-12,1325.0,1335.0,1315.0,1078.079345703125,40092100
2020-02-13,1335.0,1355.0,1295.0,1094.2911376953125,62528100
2020-02-14,1350.0,1360.0,1310.0,1069.9735107421875,29880000
2020-02-17,1325.0,1330.0,1305.0,1069.9735107421875,12413400
2020-02-18,1320.0,1350.0,1315.0,1078.079345703125,28647600
2020-02-19,1335.0,1345.0,1290.0,1057.8148193359375,49522500
2020-02-20,1315.0,1360.0,1310.0,1094.2911376953125,45664600
2020-02-21,1350.0,1355.0,1310.0,1061.86767578125,33041400
2020-02-24,1285.0,1310.0,1270.0,1041.60302734375,37626300
2020-02-25,1270.0,1300.0,1260.0,1041.60302734375,31970000
2020-02-26,1275.0,1295.0,1250.0,1013.2324829101562,38644500
2020-02-27,1250.0,1275.0,1155.0,944.332763671875,62491000
2020-02-28,1130.0,1160.0,1085.0,936.2269287109375,63533800
2020-03-02,1175.0,1195.0,1100.0,903.8035278320312,41125400
2020-03-03,1140.0,1180.0,1125.0,924.0680541992188,90994700
2020-03-04,1125.0,1215.0,1110.0,976.7561645507812,85031200
2020-03-05,1220.0,1225.0,1155.0,952.4385375976562,63958800
2020-03-06,1140.0,1180.0,1140.0,940.27978515625,33637700
2020-03-09,1060.0,1085.0,1000.0,818.6918334960938,85414300
2020-03-10,1020.0,1060.0,1010.0,834.9036254882812,47800300
2020-03-11,1030.0,1035.0,930.0,782.2155151367188,70759400
2020-03-12,900.0,930.0,820.0,672.7864379882812,75896100
2020-03-13,790.0,860.0,775.0,672.7864379882812,90075800
2020-03-16,830.0,830.0,830.0,672.7864379882812,0
2020-03-17,760.0,760.0,725.0,587.6748657226562,47571500
2020-03-18,725.0,760.0,675.0,559.3043212890625,85489000
2020-03-19,670.0,670.0,645.0,522.8280029296875,57290600
2020-03-20,645.0,800.0,610.0,603.8865966796875,139182200
2020-03-23,725.0,835.0,695.0,628.2042236328125,111577400
2020-03-24,810.0,900.0,780.0,688.9981689453125,82445200
2020-03-26,885.0,1010.0,870.0,782.2155151367188,120540900
2020-03-27,990.0,1050.0,920.0,802.4801635742188,76999800
2020-03-30,970.0,970.0,925.0,749.7921142578125,28451400
2020-03-31,925.0,1020.0,925.0,802.4801635742188,83005000
2020-04-01,995.0,1030.0,940.0,826.7977294921875,56063700
2020-04-02,980.0,1055.0,970.0,843.0094604492188,29924200
2020-04-03,1055.0,1100.0,1040.0,891.6446533203125,43071600
2020-04-06,1110.0,1150.0,1080.0,932.1739501953125,41495700
2020-04-07,1190.0,1200.0,1075.0,924.0680541992188,52492500
2020-04-08,1150.0,1150.0,1065.0,863.2741088867188,44442400
2020-04-09,1015.0,1080.0,1000.0,843.0094604492188,31567000
2020-04-13,1050.0,1075.0,1020.0,843.0094604492188,13653600
2020-04-14,1040.0,1080.0,1040.0,875.432861328125,24122100
2020-04-15,1080.0,1100.0,1010.0,847.0623779296875,29124400
2020-04-16,1035.0,1035.0,975.0,790.3214111328125,33908100
2020-04-17,1000.0,1050.0,990.0,838.9566040039062,36048300
2020-04-20,1030.0,1045.0,980.0,798.42724609375,31892700
2020-04-21,970.0,970.0,920.0,753.844970703125,45011700
2020-04-22,930.0,930.0,870.0,717.36865234375,64670900
2020-04-23,900.0,925.0,895.0,733.5803833007812,50027600
2020-04-24,910.0,985.0,870.0,709.2627563476562,98736600
2020-04-27,900.0,945.0,885.0,729.5274047851562,97943800
2020-04-28,910.0,915.0,875.0,721.4215698242188,47890200
2020-04-29,895.0,905.0,880.0,717.36865234375,43090800
2020-04-30,895.0,920.0,890.0,745.7391357421875,82626500
2020-05-04,920.0,920.0,870.0,721.4215698242188,68085900
2020-05-05,905.0,925.0,895.0,733.5803833007812,51891500
2020-05-06,920.0,965.0,900.0,770.0567016601562,105354100
2020-05-08,955.0,1030.0,955.0,830.8506469726562,144477800
2020-05-11,1040.0,1060.0,1025.0,834.9036254882812,62095700
2020-05-12,1040.0,1060.0,1000.0,814.638916015625,49628600
2020-05-13,1005.0,1040.0,970.0,810.5859985351562,43999100
2020-05-14,1025.0,1025.0,930.0,766.0037841796875,89411900
2020-05-15,955.0,970.0,910.0,749.7921142578125,38978300
2020-05-18,935.0,1020.0,930.0,826.7977294921875,76684300
2020-05-19,1035.0,1065.0,990.0,814.638916015625,85706200
2020-05-20,1015.0,1020.0,970.0,794.3743286132812,41027400
2020-05-26,1000.0,1020.0,975.0,810.5859985351562,49777400
2020-05-27,1020.0,1020.0,990.0,810.5859985351562,47426900
2020-05-28,1005.0,1075.0,1000.0,834.9036254882812,137778200
2020-05-29,1015.0,1100.0,1015.0,891.6446533203125,139275700
2020-06-02,1100.0,1185.0,1095.0,928.1209106445312,123823700
2020-06-03,1155.0,1180.0,1150.0,944.332763671875,89675400
2020-06-04,1135.0,1150.0,1105.0,943.5997924804688,100659200
2020-06-05,1130.0,1130.0,1085.0,926.749755859375,73108200
2020-06-08,1110.0,1175.0,1110.0,977.2997436523438,88605200
2020-06-09,1165.0,1240.0,1160.0,994.1497192382812,117226600
2020-06-10,1175.0,1180.0,1100.0,926.749755859375,65467500
2020-06-11,1100.0,1110.0,1055.0,901.4747314453125,31930900
2020-06-12,1060.0,1070.0,1010.0,893.0498046875,49986300
2020-06-15,1070.0,1085.0,1010.0,859.3497314453125,35356800
2020-06-16,1040.0,1085.0,1040.0,905.687255859375,48677100
2020-06-17,1085.0,1095.0,1055.0,901.4747314453125,38939600
2020-06-18,1065.0,1075.0,1030.0,867.7747802734375,59061200
2020-06-19,1040.0,1060.0,1035.0,876.1997680664062,70199400
2020-06-22,1050.0,1055.0,1020.0,867.7747802734375,38485700
2020-06-23,1050.0,1050.0,990.0,846.7122192382812,80075000
2020-06-24,1015.0,1050.0,1010.0,880.4122314453125,80781000
2020-06-25,1035.0,1035.0,1005.0,846.7122192382812,58913100
2020-06-26,1025.0,1025.0,1010.0,855.1372680664062,40144900
2020-06-29,1015.0,1025.0,1000.0,846.7122192382812,53482300
2020-06-30,1020.0,1020.0,990.0,838.2872924804688,88016000
2020-07-01,995.0,1045.0,990.0,880.4122314453125,98514700
2020-07-02,1055.0,1080.0,1045.0,884.6248168945312,170254500
2020-07-03,1060.0,1080.0,1035.0,876.1997680664062,55575100
2020-07-06,1050.0,1065.0,1035.0,897.2622680664062,42400100
2020-07-07,1080.0,1085.0,1050.0,884.6248168945312,94523900
2020-07-08,1050.0,1075.0,1050.0,897.2622680664062,60115300
2020-07-09,1065.0,1125.0,1060.0,922.5372314453125,138899500
2020-07-10,1095.0,1110.0,1080.0,914.1122436523438,70076300
2020-07-13,1085.0,1160.0,1080.0,973.0872802734375,134592000
2020-07-14,1145.0,1170.0,1125.0,973.0872802734375,127484300
2020-07-15,1170.0,1180.0,1125.0,952.0247802734375,60120300
2020-07-16,1135.0,1150.0,1105.0,935.1746826171875,62091100
2020-07-17,1115.0,1160.0,1110.0,973.0872802734375,93909100
2020-07-20,1155.0,1165.0,1130.0,952.0247802734375,46512900
2020-07-21,1130.0,1145.0,1115.0,956.2372436523438,52362800
2020-07-22,1140.0,1150.0,1120.0,947.812255859375,38753200
2020-07-23,1130.0,1145.0,1120.0,952.0247802734375,64260600
2020-07-24,1130.0,1135.0,1085.0,918.3247680664062,57475100
2020-07-27,1090.0,1110.0,1080.0,935.1746826171875,26677900
2020-07-28,1115.0,1125.0,1075.0,918.3247680664062,85970300
2020-07-29,1085.0,1095.0,1070.0,914.1122436523438,32109100
2020-07-30,1090.0,1100.0,1075.0,914.1122436523438,41227100
2020-08-03,1090.0,1095.0,1010.0,867.7747802734375,59722100
2020-08-04,1040.0,1060.0,1030.0,871.9873046875,46118000
2020-08-05,1045.0,1055.0,1030.0,884.6248168945312,32037900
2020-08-06,1060.0,1120.0,1055.0,939.3873291015625,78094300
2020-08-07,1115.0,1130.0,1085.0,922.5372314453125,42983500
2020-08-10,1095.0,1140.0,1095.0,960.44970703125,83699000
2020-08-11,1145.0,1170.0,1125.0,968.874755859375,77790400
2020-08-12,1150.0,1150.0,1105.0,943.5997924804688,46530100
2020-08-13,1120.0,1130.0,1105.0,939.3873291015625,40519400
2020-08-14,1115.0,1125.0,1100.0,939.3873291015625,39456900
2020-08-18,1115.0,1125.0,1110.0,939.3873291015625,40083600
2020-08-19,1115.0,1135.0,1100.0,939.3873291015625,74016400
2020-08-24,1115.0,1120.0,1090.0,922.5372314453125,51729800
2020-08-25,1100.0,1110.0,1095.0,926.749755859375,46196300
2020-08-26,1110.0,1135.0,1095.0,935.1746826171875,74077900
2020-08-27,1120.0,1130.0,1110.0,947.812255859375,61274600
2020-08-28,1130.0,1160.0,1130.0,964.6621704101562,108671900
2020-08-31,1160.0,1165.0,1085.0,914.1122436523438,85351100
2020-09-01,1090.0,1140.0,1080.0,960.44970703125,86245000
2020-09-02,1145.0,1215.0,1135.0,1023.63720703125,267164700
2020-09-03,1210.0,1230.0,1175.0,1015.2122192382812,139885600
2020-09-04,1190.0,1205.0,1160.0,1015.2122192382812,77208600
2020-09-07,1205.0,1260.0,1180.0,1053.1246337890625,109160300
2020-09-08,1250.0,1280.0,1220.0,1044.69970703125,105277500
2020-09-09,1220.0,1240.0,1180.0,1010.9998168945312,85808300
2020-09-10,1185.0,1190.0,1120.0,943.5997924804688,104709600
2020-09-11,1080.0,1185.0,1080.0,994.1497192382812,86766800
2020-09-14,1200.0,1220.0,1185.0,1010.9998168945312,57485800
